Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Achnera,Potato,Desi,FAQ,750,830,790,30-Apr-21
2,Agra,Achnera,Potato,Desi,FAQ,710,770,740,28-Apr-21
3,Agra,Achnera,Potato,Desi,FAQ,710,790,750,27-Apr-21
4,Agra,Achnera,Potato,Desi,FAQ,690,790,740,25-Apr-21
5,Agra,Achnera,Potato,Desi,FAQ,700,780,740,24-Apr-21
6,Agra,Achnera,Potato,Desi,FAQ,700,760,730,23-Apr-21
7,Agra,Achnera,Potato,Desi,FAQ,660,760,710,21-Apr-21
8,Agra,Achnera,Potato,Desi,FAQ,670,740,710,20-Apr-21
9,Agra,Achnera,Potato,Desi,FAQ,680,760,720,19-Apr-21
10,Agra,Achnera,Potato,Desi,FAQ,680,740,710,17-Apr-21
11,Agra,Achnera,Potato,Desi,FAQ,650,740,695,16-Apr-21
12,Agra,Achnera,Potato,Desi,FAQ,640,740,690,14-Apr-21
13,Agra,Achnera,Potato,Desi,FAQ,670,750,710,13-Apr-21
14,Agra,Achnera,Potato,Desi,FAQ,700,800,750,12-Apr-21
15,Agra,Achnera,Potato,Desi,FAQ,690,780,735,11-Apr-21
16,Agra,Achnera,Potato,Desi,FAQ,680,780,730,10-Apr-21
17,Agra,Achnera,Potato,Desi,FAQ,650,750,700,9-Apr-21
18,Agra,Achnera,Potato,Desi,FAQ,670,730,700,7-Apr-21
19,Agra,Achnera,Potato,Desi,FAQ,670,730,700,6-Apr-21
20,Agra,Achnera,Potato,Desi,FAQ,680,760,720,5-Apr-21
21,Agra,Achnera,Potato,Desi,FAQ,680,740,710,4-Apr-21
22,Agra,Achnera,Potato,Desi,FAQ,640,720,680,3-Apr-21
23,Agra,Achnera,Potato,Desi,FAQ,630,690,660,2-Apr-21
24,Agra,Achnera,Potato,Desi,FAQ,620,720,670,31-Mar-21
25,Agra,Achnera,Potato,Desi,FAQ,600,700,650,30-Mar-21
26,Agra,Achnera,Potato,Desi,FAQ,600,680,640,28-Mar-21
27,Agra,Achnera,Potato,Desi,FAQ,600,660,630,27-Mar-21
28,Agra,Achnera,Potato,Desi,FAQ,600,680,640,26-Mar-21
29,Agra,Achnera,Potato,Desi,FAQ,590,670,630,23-Mar-21
30,Agra,Achnera,Potato,Desi,FAQ,600,660,630,22-Mar-21
31,Agra,Achnera,Potato,Desi,FAQ,590,670,630,21-Mar-21
32,Agra,Achnera,Potato,Desi,FAQ,600,680,640,20-Mar-21
33,Agra,Achnera,Potato,Desi,FAQ,590,670,630,19-Mar-21
34,Agra,Achnera,Potato,Desi,FAQ,600,660,630,17-Mar-21
35,Agra,Achnera,Potato,Desi,FAQ,550,650,600,16-Mar-21
36,Agra,Achnera,Potato,Desi,FAQ,520,600,560,15-Mar-21
37,Agra,Achnera,Potato,Desi,FAQ,530,590,560,14-Mar-21
38,Agra,Achnera,Potato,Desi,FAQ,500,580,540,13-Mar-21
39,Agra,Achnera,Potato,Desi,FAQ,500,580,540,12-Mar-21
40,Agra,Achnera,Potato,Desi,FAQ,520,600,560,10-Mar-21
41,Agra,Achnera,Potato,Desi,FAQ,500,580,540,9-Mar-21
42,Agra,Achnera,Potato,Desi,FAQ,500,560,530,8-Mar-21
43,Agra,Achnera,Potato,Desi,FAQ,500,580,540,7-Mar-21
44,Agra,Achnera,Potato,Desi,FAQ,500,600,550,6-Mar-21
45,Agra,Achnera,Potato,Desi,FAQ,520,600,560,5-Mar-21
46,Agra,Achnera,Potato,Desi,FAQ,500,560,530,3-Mar-21
47,Agra,Achnera,Potato,Desi,FAQ,500,580,540,2-Mar-21
48,Agra,Achnera,Potato,Desi,FAQ,500,580,540,1-Mar-21
49,Agra,Achnera,Potato,Desi,FAQ,520,580,550,28-Feb-21
50,Agra,Achnera,Potato,Desi,FAQ,510,590,550,27-Feb-21
51,Agra,Achnera,Potato,Desi,FAQ,520,620,580,26-Feb-21
52,Agra,Achnera,Potato,Desi,FAQ,540,620,580,23-Feb-21
53,Agra,Achnera,Potato,Desi,FAQ,520,600,560,22-Feb-21
54,Agra,Achnera,Potato,Desi,FAQ,540,620,580,21-Feb-21
55,Agra,Achnera,Potato,Desi,FAQ,530,610,570,20-Feb-21
56,Agra,Achnera,Potato,Desi,FAQ,540,620,580,19-Feb-21
57,Agra,Achnera,Potato,Desi,FAQ,600,660,630,17-Feb-21
58,Agra,Achnera,Potato,Desi,FAQ,600,650,625,16-Feb-21
59,Agra,Achnera,Potato,Desi,FAQ,600,680,640,15-Feb-21
60,Agra,Achnera,Potato,Desi,FAQ,610,690,650,14-Feb-21
61,Agra,Achnera,Potato,Desi,FAQ,620,680,650,13-Feb-21
62,Agra,Achnera,Potato,Desi,FAQ,630,690,660,12-Feb-21
63,Agra,Achnera,Potato,Desi,FAQ,660,720,690,10-Feb-21
64,Agra,Achnera,Potato,Desi,FAQ,700,780,740,9-Feb-21
65,Agra,Achnera,Potato,Desi,FAQ,660,740,700,8-Feb-21
66,Agra,Achnera,Potato,Desi,FAQ,670,730,700,7-Feb-21
67,Agra,Achnera,Potato,Desi,FAQ,640,720,680,6-Feb-21
68,Agra,Achnera,Potato,Desi,FAQ,720,780,750,5-Feb-21
69,Agra,Achnera,Potato,Desi,FAQ,700,760,730,3-Feb-21
70,Agra,Achnera,Potato,Desi,FAQ,720,780,750,2-Feb-21
71,Agra,Achnera,Potato,Desi,FAQ,720,800,760,1-Feb-21
72,Agra,Achnera,Potato,Desi,FAQ,700,780,740,30-Jan-21
73,Agra,Achnera,Potato,Desi,FAQ,730,790,760,27-Jan-21
74,Agra,Achnera,Potato,Desi,FAQ,760,840,800,25-Jan-21
75,Agra,Achnera,Potato,Desi,FAQ,750,850,800,24-Jan-21
76,Agra,Achnera,Potato,Desi,FAQ,740,840,790,23-Jan-21
77,Agra,Achnera,Potato,Desi,FAQ,740,820,780,22-Jan-21
78,Agra,Achnera,Potato,Desi,FAQ,800,880,840,20-Jan-21
79,Agra,Achnera,Potato,Desi,FAQ,780,860,820,19-Jan-21
80,Agra,Achnera,Potato,Desi,FAQ,800,880,840,18-Jan-21
81,Agra,Achnera,Potato,Desi,FAQ,800,900,850,17-Jan-21
82,Agra,Achnera,Potato,Desi,FAQ,860,940,900,16-Jan-21
83,Agra,Achnera,Potato,Desi,FAQ,820,920,870,15-Jan-21
84,Agra,Achnera,Potato,Desi,FAQ,800,900,850,13-Jan-21
85,Agra,Achnera,Potato,Desi,FAQ,860,940,900,12-Jan-21
86,Agra,Achnera,Potato,Desi,FAQ,850,950,900,11-Jan-21
87,Agra,Achnera,Potato,Desi,FAQ,860,940,900,10-Jan-21
88,Agra,Achnera,Potato,Desi,FAQ,850,950,900,9-Jan-21
89,Agra,Achnera,Potato,Desi,FAQ,880,960,920,8-Jan-21
90,Agra,Achnera,Potato,Desi,FAQ,900,960,930,6-Jan-21
91,Agra,Achnera,Potato,Desi,FAQ,900,980,940,5-Jan-21
92,Agra,Achnera,Potato,Desi,FAQ,910,990,940,4-Jan-21
93,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,3-Jan-21
94,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,2-Jan-21
95,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,1-Jan-21
96,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,30-Dec-20
97,Agra,Achnera,Potato,Desi,FAQ,800,900,850,29-Dec-20
98,Agra,Achnera,Potato,Desi,FAQ,850,950,900,28-Dec-20
99,Agra,Achnera,Potato,Desi,FAQ,800,900,850,27-Dec-20
100,Agra,Achnera,Potato,Desi,FAQ,800,900,850,26-Dec-20
101,Agra,Achnera,Potato,Desi,FAQ,800,900,850,25-Dec-20
102,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,23-Dec-20
103,Agra,Achnera,Potato,Desi,FAQ,820,920,870,22-Dec-20
104,Agra,Achnera,Potato,Desi,FAQ,800,900,850,21-Dec-20
105,Agra,Achnera,Potato,Desi,FAQ,800,900,850,20-Dec-20
106,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,19-Dec-20
107,Agra,Achnera,Potato,Desi,FAQ,1000,1100,1050,18-Dec-20
108,Agra,Achnera,Potato,Desi,FAQ,1350,1450,1400,16-Dec-20
109,Agra,Achnera,Potato,Desi,FAQ,1400,1500,1450,15-Dec-20
110,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,14-Dec-20
111,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,13-Dec-20
112,Agra,Achnera,Potato,Desi,FAQ,1650,1750,1700,12-Dec-20
113,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,11-Dec-20
114,Agra,Achnera,Potato,Desi,FAQ,2300,2400,2350,9-Dec-20
115,Agra,Achnera,Potato,Desi,FAQ,2350,2450,2400,8-Dec-20
116,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,7-Dec-20
117,Agra,Achnera,Potato,Desi,FAQ,2650,2750,2700,6-Dec-20
118,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,5-Dec-20
119,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,4-Dec-20
120,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2-Dec-20
121,Agra,Achnera,Potato,Desi,FAQ,2840,2940,2890,1-Dec-20
122,Agra,Achnera,Potato,Desi,FAQ,2830,2930,2880,30-Nov-20
123,Agra,Achnera,Potato,Desi,FAQ,3750,3850,3800,29-Nov-20
124,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,28-Nov-20
125,Agra,Achnera,Potato,Desi,FAQ,2830,2910,2870,27-Nov-20
126,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,25-Nov-20
127,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,24-Nov-20
128,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,23-Nov-20
129,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,22-Nov-20
130,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,21-Nov-20
131,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,20-Nov-20
132,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,18-Nov-20
133,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,17-Nov-20
134,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,16-Nov-20
135,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,15-Nov-20
136,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,14-Nov-20
137,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,13-Nov-20
138,Agra,Achnera,Potato,Desi,FAQ,2780,2860,2820,11-Nov-20
139,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,10-Nov-20
140,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,9-Nov-20
141,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,8-Nov-20
142,Agra,Achnera,Potato,Desi,FAQ,2780,2860,2820,7-Nov-20
143,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,6-Nov-20
144,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,4-Nov-20
145,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,3-Nov-20
146,Agra,Achnera,Potato,Desi,FAQ,2640,2720,2680,2-Nov-20
147,Agra,Achnera,Potato,Desi,FAQ,2740,2820,2780,1-Nov-20
148,Agra,Achnera,Potato,Desi,FAQ,2600,2700,2650,31-Oct-20
149,Agra,Achnera,Potato,Desi,FAQ,2600,2680,2640,30-Oct-20
150,Agra,Achnera,Potato,Desi,FAQ,2600,2700,2650,28-Oct-20
151,Agra,Achnera,Potato,Desi,FAQ,2700,2780,2740,27-Oct-20
152,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,26-Oct-20
153,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,25-Oct-20
154,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,24-Oct-20
155,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,23-Oct-20
156,Agra,Achnera,Potato,Desi,FAQ,2500,2600,2550,21-Oct-20
157,Agra,Achnera,Potato,Desi,FAQ,2500,2600,2550,20-Oct-20
158,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,19-Oct-20
159,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,18-Oct-20
160,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,17-Oct-20
161,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,16-Oct-20
162,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,14-Oct-20
163,Agra,Achnera,Potato,Desi,FAQ,2500,2560,2530,13-Oct-20
164,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,12-Oct-20
165,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,11-Oct-20
166,Agra,Achnera,Potato,Desi,FAQ,2500,2560,2530,10-Oct-20
167,Agra,Achnera,Potato,Desi,FAQ,2470,2530,2500,7-Oct-20
168,Agra,Achnera,Potato,Desi,FAQ,2480,2560,2520,6-Oct-20
169,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,5-Oct-20
170,Agra,Achnera,Potato,Desi,FAQ,2460,2540,2500,4-Oct-20
171,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,3-Oct-20
172,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,2-Oct-20
173,Agra,Achnera,Potato,Desi,FAQ,2420,2500,2460,30-Sep-20
174,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,29-Sep-20
175,Agra,Achnera,Potato,Desi,FAQ,2400,2480,2440,28-Sep-20
176,Agra,Achnera,Potato,Desi,FAQ,2380,2460,2420,27-Sep-20
177,Agra,Achnera,Potato,Desi,FAQ,2300,2400,2350,26-Sep-20
178,Agra,Achnera,Potato,Desi,FAQ,2350,2450,2400,25-Sep-20
179,Agra,Achnera,Potato,Desi,FAQ,2270,2350,2310,23-Sep-20
180,Agra,Achnera,Potato,Desi,FAQ,2280,2360,2320,22-Sep-20
181,Agra,Achnera,Potato,Desi,FAQ,2250,2350,2300,21-Sep-20
182,Agra,Achnera,Potato,Desi,FAQ,2200,2300,2250,20-Sep-20
183,Agra,Achnera,Potato,Desi,FAQ,2240,2340,2290,19-Sep-20
184,Agra,Achnera,Potato,Desi,FAQ,2200,2350,2250,18-Sep-20
185,Agra,Achnera,Potato,Desi,FAQ,2200,2300,2250,16-Sep-20
186,Agra,Achnera,Potato,Desi,FAQ,2150,2250,2200,15-Sep-20
187,Agra,Achnera,Potato,Desi,FAQ,2100,2200,2150,14-Sep-20
188,Agra,Achnera,Potato,Desi,FAQ,2050,2150,2100,13-Sep-20
189,Agra,Achnera,Potato,Desi,FAQ,2060,2140,2100,12-Sep-20
190,Agra,Achnera,Potato,Desi,FAQ,2050,2150,2100,11-Sep-20
191,Agra,Achnera,Potato,Potato,FAQ,2050,2150,2100,10-Sep-20
192,Agra,Achnera,Potato,Desi,FAQ,2030,2130,2080,9-Sep-20
193,Agra,Achnera,Potato,Desi,FAQ,2020,2120,2080,8-Sep-20
194,Agra,Achnera,Potato,Desi,FAQ,2020,2100,2060,7-Sep-20
195,Agra,Achnera,Potato,Desi,FAQ,2000,2060,2030,5-Sep-20
196,Agra,Achnera,Potato,Desi,FAQ,1970,2030,2000,4-Sep-20
197,Agra,Achnera,Potato,Desi,FAQ,2010,2090,2050,3-Sep-20
198,Agra,Achnera,Potato,Desi,FAQ,2000,2080,2040,2-Sep-20
199,Agra,Achnera,Potato,Desi,FAQ,1950,2050,2000,1-Sep-20
200,Agra,Achnera,Potato,Desi,FAQ,2020,2100,2060,31-Aug-20
201,Agra,Achnera,Potato,Desi,FAQ,2000,2080,2040,30-Aug-20
202,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,29-Aug-20
203,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,28-Aug-20
204,Agra,Achnera,Potato,Desi,FAQ,2040,2120,2080,26-Aug-20
205,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,25-Aug-20
206,Agra,Achnera,Potato,Desi,FAQ,1930,2030,1980,24-Aug-20
207,Agra,Achnera,Potato,Desi,FAQ,1940,2020,1980,23-Aug-20
208,Agra,Achnera,Potato,Desi,FAQ,1930,2010,1970,22-Aug-20
209,Agra,Achnera,Potato,Desi,FAQ,1920,2000,1960,21-Aug-20
210,Agra,Achnera,Potato,Desi,FAQ,1900,1960,1930,19-Aug-20
211,Agra,Achnera,Potato,Desi,FAQ,1930,2030,1980,18-Aug-20
212,Agra,Achnera,Potato,Desi,FAQ,1900,1960,1930,17-Aug-20
213,Agra,Achnera,Potato,Desi,FAQ,1900,1960,1930,16-Aug-20
214,Agra,Achnera,Potato,Desi,FAQ,1900,1960,1930,15-Aug-20
215,Agra,Achnera,Potato,Desi,FAQ,1900,1980,1940,14-Aug-20
216,Agra,Achnera,Potato,Desi,FAQ,1870,1930,1900,12-Aug-20
217,Agra,Achnera,Potato,Desi,FAQ,1880,1960,1920,11-Aug-20
218,Agra,Achnera,Potato,Desi,FAQ,1900,1940,1920,10-Aug-20
219,Agra,Achnera,Potato,Desi,FAQ,1800,1880,1840,9-Aug-20
220,Agra,Achnera,Potato,Desi,FAQ,1840,1920,1880,8-Aug-20
221,Agra,Achnera,Potato,Desi,FAQ,1870,1930,1900,7-Aug-20
222,Agra,Achnera,Potato,Desi,FAQ,1860,1940,1900,5-Aug-20
223,Agra,Achnera,Potato,Desi,FAQ,1850,1930,1890,4-Aug-20
224,Agra,Achnera,Potato,Desi,FAQ,1860,1940,1900,3-Aug-20
225,Agra,Achnera,Potato,Desi,FAQ,1850,1930,1890,2-Aug-20
226,Agra,Achnera,Potato,Desi,FAQ,1830,1930,1880,1-Aug-20
227,Agra,Achnera,Potato,Desi,FAQ,1820,1900,1860,31-Jul-20
228,Agra,Achnera,Potato,Desi,FAQ,1800,1880,1840,27-Jul-20
229,Agra,Achnera,Potato,Desi,FAQ,1800,1880,1840,26-Jul-20
230,Agra,Achnera,Potato,Desi,FAQ,1800,1840,1820,25-Jul-20
231,Agra,Achnera,Potato,Desi,FAQ,1800,1880,1840,24-Jul-20
232,Agra,Achnera,Potato,Desi,FAQ,1750,1850,1800,22-Jul-20
233,Agra,Achnera,Potato,Desi,FAQ,1840,1920,1880,21-Jul-20
234,Agra,Achnera,Potato,Desi,FAQ,1800,1880,1840,20-Jul-20
235,Agra,Achnera,Potato,Desi,FAQ,1760,1840,1800,19-Jul-20
236,Agra,Achnera,Potato,Desi,FAQ,1760,1820,1790,18-Jul-20
237,Agra,Achnera,Potato,Desi,FAQ,1750,1850,1800,17-Jul-20
238,Agra,Achnera,Potato,Desi,FAQ,1700,1750,1725,15-Jul-20
239,Agra,Achnera,Potato,Desi,FAQ,1720,1820,1770,14-Jul-20
240,Agra,Achnera,Potato,Desi,FAQ,1730,1830,1780,13-Jul-20
241,Agra,Achnera,Potato,Desi,FAQ,1650,1710,1680,10-Jul-20
242,Agra,Achnera,Potato,Desi,FAQ,1580,1650,1620,8-Jul-20
243,Agra,Achnera,Potato,Desi,FAQ,1550,1650,1600,7-Jul-20
244,Agra,Achnera,Potato,Desi,FAQ,1520,1600,1560,6-Jul-20
245,Agra,Achnera,Potato,Desi,FAQ,1500,1580,1540,5-Jul-20
246,Agra,Achnera,Potato,Desi,FAQ,1500,1600,1550,4-Jul-20
247,Agra,Achnera,Potato,Desi,FAQ,1470,1530,1500,3-Jul-20
248,Agra,Achnera,Potato,Desi,FAQ,1440,1530,1490,1-Jul-20
249,Agra,Achnera,Potato,Desi,FAQ,1430,1490,1460,30-Jun-20
250,Agra,Achnera,Potato,Desi,FAQ,1430,1500,1470,29-Jun-20
251,Agra,Achnera,Potato,Desi,FAQ,1410,1490,1450,28-Jun-20
252,Agra,Achnera,Potato,Desi,FAQ,1400,1480,1440,27-Jun-20
253,Agra,Achnera,Potato,Desi,FAQ,1430,1500,1470,26-Jun-20
254,Agra,Achnera,Potato,Desi,FAQ,1440,1510,1480,24-Jun-20
255,Agra,Achnera,Potato,Desi,FAQ,1430,1530,1480,23-Jun-20
256,Agra,Achnera,Potato,Desi,FAQ,1480,1560,1520,22-Jun-20
257,Agra,Achnera,Potato,Desi,FAQ,1450,1550,1500,21-Jun-20
258,Agra,Achnera,Potato,Desi,FAQ,1400,1500,1450,20-Jun-20
259,Agra,Achnera,Potato,Desi,FAQ,1420,1480,1450,19-Jun-20
260,Agra,Achnera,Potato,Desi,FAQ,1450,1500,1480,17-Jun-20
261,Agra,Achnera,Potato,Desi,FAQ,1400,1480,1440,16-Jun-20
262,Agra,Achnera,Potato,Desi,FAQ,1400,1480,1440,15-Jun-20
263,Agra,Achnera,Potato,Desi,FAQ,1400,1480,1440,14-Jun-20
264,Agra,Achnera,Potato,Desi,FAQ,1400,1480,1440,13-Jun-20
265,Agra,Achnera,Potato,Desi,FAQ,1400,1460,1430,12-Jun-20
266,Agra,Achnera,Potato,Desi,FAQ,1400,1480,1440,10-Jun-20
267,Agra,Achnera,Potato,Desi,FAQ,1400,1460,1430,9-Jun-20
268,Agra,Achnera,Potato,Desi,FAQ,1380,1460,1420,8-Jun-20
269,Agra,Achnera,Potato,Desi,FAQ,1350,1450,1400,7-Jun-20
270,Agra,Achnera,Potato,Desi,FAQ,1370,1430,1400,6-Jun-20
271,Agra,Achnera,Potato,Desi,FAQ,1360,1440,1400,5-Jun-20
272,Agra,Achnera,Potato,Desi,FAQ,1340,1400,1370,3-Jun-20
273,Agra,Achnera,Potato,Desi,FAQ,1320,1400,1360,2-Jun-20
274,Agra,Achnera,Potato,Desi,FAQ,1330,1400,1370,1-Jun-20
275,Agra,Achnera,Potato,Desi,FAQ,1320,1380,1350,31-May-20
276,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,30-May-20
277,Agra,Achnera,Potato,Desi,FAQ,1300,1370,1335,29-May-20
278,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,27-May-20
279,Agra,Achnera,Potato,Desi,FAQ,1320,1380,1350,26-May-20
280,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,25-May-20
281,Agra,Achnera,Potato,Desi,FAQ,1300,1360,1330,24-May-20
282,Agra,Achnera,Potato,Desi,FAQ,1300,1390,1345,23-May-20
283,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,22-May-20
284,Agra,Achnera,Potato,Desi,FAQ,1240,1340,1290,20-May-20
285,Agra,Achnera,Potato,Desi,FAQ,1200,1260,1230,19-May-20
286,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,18-May-20
287,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,17-May-20
288,Agra,Achnera,Potato,Desi,FAQ,1330,1390,1360,16-May-20
289,Agra,Achnera,Potato,Desi,FAQ,1280,1380,1320,15-May-20
290,Agra,Achnera,Potato,Desi,FAQ,1270,1370,1320,13-May-20
291,Agra,Achnera,Potato,Desi,FAQ,1270,1350,1310,12-May-20
292,Agra,Achnera,Potato,Desi,FAQ,1260,1340,1300,11-May-20
293,Agra,Achnera,Potato,Desi,FAQ,1240,1340,1290,10-May-20
294,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,9-May-20
295,Agra,Achnera,Potato,Desi,FAQ,1220,1320,1270,8-May-20
296,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,6-May-20
297,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,5-May-20
298,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,4-May-20
299,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,3-May-20
300,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2-May-20
301,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,1-May-20
302,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,29-Apr-20
303,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,28-Apr-20
304,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,27-Apr-20
305,Agra,Achnera,Potato,Desi,FAQ,1280,1380,1330,25-Apr-20
306,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,24-Apr-20
307,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,23-Apr-20
308,Agra,Achnera,Potato,Desi,FAQ,1280,1340,1310,22-Apr-20
309,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,21-Apr-20
310,Agra,Achnera,Potato,Desi,FAQ,1200,1320,1260,20-Apr-20
311,Agra,Achnera,Potato,Desi,FAQ,1220,1320,1270,19-Apr-20
312,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,18-Apr-20
313,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,17-Apr-20
314,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,15-Apr-20
315,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,14-Apr-20
316,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,13-Apr-20
317,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,12-Apr-20
318,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,11-Apr-20
319,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,10-Apr-20
320,Agra,Achnera,Potato,Desi,FAQ,1230,1350,1290,8-Apr-20
321,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,7-Apr-20
322,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,6-Apr-20
323,Agra,Achnera,Potato,Desi,FAQ,1100,1200,1150,5-Apr-20
324,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,4-Apr-20
325,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,3-Apr-20
326,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,1-Apr-20
327,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,31-Mar-20
328,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,30-Mar-20
329,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,29-Mar-20
330,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,28-Mar-20
331,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,27-Mar-20
332,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,25-Mar-20
333,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,24-Mar-20
334,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,23-Mar-20
335,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,22-Mar-20
336,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,21-Mar-20
337,Agra,Achnera,Potato,Desi,FAQ,1200,1260,1230,20-Mar-20
338,Agra,Achnera,Potato,Desi,FAQ,1150,1250,1200,18-Mar-20
339,Agra,Achnera,Potato,Desi,FAQ,1140,1220,1180,17-Mar-20
340,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,16-Mar-20
341,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,15-Mar-20
342,Agra,Achnera,Potato,Desi,FAQ,1180,1260,1220,14-Mar-20
343,Agra,Achnera,Potato,Desi,FAQ,1180,1240,1210,13-Mar-20
344,Agra,Achnera,Potato,Desi,FAQ,1050,1150,1100,9-Mar-20
345,Agra,Achnera,Potato,Desi,FAQ,1050,1150,1100,8-Mar-20
346,Agra,Achnera,Potato,Desi,FAQ,1050,1150,1100,7-Mar-20
347,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,6-Mar-20
348,Agra,Achnera,Potato,Desi,FAQ,800,900,850,4-Mar-20
